country_id,rank,gold,silver,bronze,total,unique_disciplines_won,unique_events_won
USA,1,40,44,42,126,34,107
CHN,2,40,27,24,91,23,82
JPN,3,20,12,13,45,16,44
AUS,4,18,19,16,53,20,50
FRA,5,16,26,22,64,27,60
NED,6,15,7,12,34,13,34
GBR,7,14,22,29,65,22,65
KOR,8,13,9,10,32,11,29
ITA,9,12,13,15,40,19,38
GER,10,12,13,8,33,19,32
NZL,11,10,7,3,20,9,20
CAN,12,9,7,11,27,15,26
UZB,13,8,2,3,13,5,13
HUN,14,6,7,6,19,8,16
ESP,15,5,4,9,18,12,18
SWE,16,4,4,3,11,8,11
KEN,17,4,2,5,11,1,10
NOR,18,4,1,3,8,6,8
IRL,19,4,0,3,7,4,7
BRA,20,3,7,10,20,11,20
IRI,21,3,6,3,12,2,12
UKR,22,3,5,4,12,7,11
ROU,23,3,4,2,9,4,9
GEO,24,3,3,1,7,4,7
BEL,25,3,1,6,10,5,8
BUL,26,3,1,3,7,5,7
SRB,27,3,1,1,5,5,5
CZE,28,3,0,2,5,4,5
DEN,29,2,2,5,9,8,9
AZE,30,2,2,3,7,4,7
CRO,30,2,2,3,7,7,7
CUB,32,2,1,6,9,4,9
BRN,33,2,1,1,4,3,4
SLO,34,2,1,0,3,3,3
TPE,35,2,0,5,7,5,7
AUT,36,2,0,3,5,3,5
HKG,37,2,0,2,4,2,4
PHI,37,2,0,2,4,2,4
ALG,39,2,0,1,3,3,3
INA,39,2,0,1,3,3,3
ISR,41,1,5,1,7,4,7
POL,42,1,4,5,10,9,9
KAZ,43,1,3,3,7,5,7
JAM,44,1,3,2,6,1,6
RSA,44,1,3,2,6,4,6
THA,44,1,3,2,6,4,6
ETH,47,1,3,0,4,1,4
SUI,48,1,2,5,8,7,8
ECU,49,1,2,2,5,3,5
POR,50,1,2,1,4,3,4
GRE,51,1,1,6,8,6,8
ARG,52,1,1,1,3,3,3
EGY,52,1,1,1,3,3,3
TUN,52,1,1,1,3,2,3
BOT,55,1,1,0,2,1,2
CHI,55,1,1,0,2,2,2
LCA,55,1,1,0,2,1,2
UGA,55,1,1,0,2,1,2
DOM,59,1,0,2,3,2,3
GUA,60,1,0,1,2,1,2
MAR,60,1,0,1,2,2,2
DMA,62,1,0,0,1,1,1
PAK,62,1,0,0,1,1,1
TUR,64,0,3,5,8,5,8
MEX,65,0,3,2,5,4,5
ARM,66,0,3,1,4,3,4
COL,66,0,3,1,4,3,4
KGZ,68,0,2,4,6,2,6
PRK,68,0,2,4,6,4,6
LTU,70,0,2,2,4,4,4
IND,71,0,1,5,6,4,6
MDA,72,0,1,3,4,3,4
KOS,73,0,1,1,2,1,2
CYP,74,0,1,0,1,1,1
FIJ,74,0,1,0,1,1,1
JOR,74,0,1,0,1,1,1
MGL,74,0,1,0,1,1,1
PAN,74,0,1,0,1,1,1
TJK,79,0,0,3,3,2,3
ALB,80,0,0,2,2,1,2
GRN,80,0,0,2,2,1,2
MAS,80,0,0,2,2,1,2
PUR,80,0,0,2,2,2,2
CIV,84,0,0,1,1,1,1
CPV,84,0,0,1,1,1,1
EOR,84,0,0,1,1,1,1
PER,84,0,0,1,1,1,1
QAT,84,0,0,1,1,1,1
SGP,84,0,0,1,1,1,1
SVK,84,0,0,1,1,1,1
ZAM,84,0,0,1,1,1,1
